unknown_voltage_0 -> 0
unknown_voltage_1 -> 1
unknown_voltage_2 -> 2
unknown_current_vin -> 3
0.000000 0.000000 0.000000
0.001000 0.015711 0.007856
0.002000 0.031422 0.015711
0.003000 0.047133 0.023566
0.004000 0.062843 0.031421
0.005000 0.078552 0.039276
0.006000 0.094261 0.047131
0.007000 0.109969 0.054984
0.008000 0.125676 0.062838
0.009000 0.141381 0.070691
0.010000 0.157085 0.078543
0.011000 0.172788 0.086394
0.012000 0.188489 0.094244
0.013000 0.204188 0.102094
0.014000 0.219885 0.109942
0.015000 0.235579 0.117790
0.016000 0.251272 0.125636
0.017000 0.266962 0.133481
0.018000 0.282649 0.141325
0.019000 0.298334 0.149167
0.020000 0.314015 0.157008
0.021000 0.329694 0.164847
0.022000 0.345369 0.172685
0.023000 0.361041 0.180520
0.024000 0.376709 0.188355
0.025000 0.392374 0.196187
0.026000 0.408034 0.204017
0.027000 0.423691 0.211846
0.028000 0.439344 0.219672
0.029000 0.454992 0.227496
0.030000 0.470635 0.235318
0.031000 0.486274 0.243137
0.032000 0.501909 0.250954
0.033000 0.517538 0.258769
0.034000 0.533162 0.266581
0.035000 0.548781 0.274390
0.036000 0.564394 0.282197
0.037000 0.580002 0.290001
0.038000 0.595604 0.297802
0.039000 0.611201 0.305600
0.040000 0.626791 0.313395
0.041000 0.642375 0.321187
0.042000 0.657953 0.328976
0.043000 0.673524 0.336762
0.044000 0.689088 0.344544
0.045000 0.704646 0.352323
0.046000 0.720197 0.360098
0.047000 0.735741 0.367870
0.048000 0.751277 0.375639
0.049000 0.766806 0.383403
0.050000 0.782328 0.391164
0.051000 0.797841 0.398921
0.052000 0.813347 0.406674
0.053000 0.828845 0.414422
0.054000 0.844334 0.422167
0.055000 0.859816 0.429908
0.056000 0.875289 0.437644
0.057000 0.890753 0.445376
0.058000 0.906208 0.453104
0.059000 0.921654 0.460827
0.060000 0.937092 0.468546
0.061000 0.952520 0.476260
0.062000 0.967938 0.483969
0.063000 0.983348 0.491674
0.064000 0.998747 0.499373
0.065000 1.014136 0.507068
0.066000 1.029516 0.514758
0.067000 1.044885 0.522443
0.068000 1.060244 0.530122
0.069000 1.075593 0.537796
0.070000 1.090931 0.545465
0.071000 1.106258 0.553129
0.072000 1.121574 0.560787
0.073000 1.136879 0.568440
0.074000 1.152173 0.576087
0.075000 1.167456 0.583728
0.076000 1.182727 0.591364
0.077000 1.197986 0.598993
0.078000 1.213234 0.606617
0.079000 1.228469 0.614235
0.080000 1.243693 0.621846
0.081000 1.258904 0.629452
0.082000 1.274103 0.637051
0.083000 1.289289 0.644644
0.084000 1.304462 0.652231
0.085000 1.319623 0.659811
0.086000 1.334770 0.667385
0.087000 1.349905 0.674952
0.088000 1.365026 0.682513
0.089000 1.380133 0.690067
0.090000 1.395227 0.697614
0.091000 1.410307 0.705154
0.092000 1.425373 0.712687
0.093000 1.440426 0.720213
0.094000 1.455463 0.727732
0.095000 1.470487 0.735243
0.096000 1.485496 0.742748
0.097000 1.500490 0.750245
0.098000 1.515470 0.757735
0.099000 1.530434 0.765217
0.100000 1.545384 0.772692
0.101000 1.560318 0.780159
0.102000 1.575237 0.787618
0.103000 1.590140 0.795070
0.104000 1.605028 0.802514
0.105000 1.619899 0.809950
0.106000 1.634755 0.817377
0.107000 1.649594 0.824797
0.108000 1.664418 0.832209
0.109000 1.679225 0.839612
0.110000 1.694015 0.847007
0.111000 1.708788 0.854394
0.112000 1.723545 0.861772
0.113000 1.738285 0.869142
0.114000 1.753007 0.876504
0.115000 1.767712 0.883856
0.116000 1.782400 0.891200
0.117000 1.797070 0.898535
0.118000 1.811722 0.905861
0.119000 1.826357 0.913178
0.120000 1.840973 0.920487
0.121000 1.855572 0.927786
0.122000 1.870152 0.935076
0.123000 1.884713 0.942357
0.124000 1.899256 0.949628
0.125000 1.913780 0.956890
0.126000 1.928285 0.964143
0.127000 1.942771 0.971386
0.128000 1.957238 0.978619
0.129000 1.971686 0.985843
0.130000 1.986114 0.993057
0.131000 2.000523 1.000261
0.132000 2.014912 1.007456
0.133000 2.029281 1.014640
0.134000 2.043630 1.021815
0.135000 2.057958 1.028979
0.136000 2.072267 1.036133
0.137000 2.086555 1.043277
0.138000 2.100822 1.050411
0.139000 2.115069 1.057534
0.140000 2.129294 1.064647
0.141000 2.143499 1.071750
0.142000 2.157683 1.078841
0.143000 2.171845 1.085922
0.144000 2.185986 1.092993
0.145000 2.200105 1.100053
0.146000 2.214202 1.107101
0.147000 2.228278 1.114139
0.148000 2.242332 1.121166
0.149000 2.256363 1.128182
0.150000 2.270372 1.135186
0.151000 2.284359 1.142180
0.152000 2.298323 1.149162
0.153000 2.312265 1.156133
0.154000 2.326184 1.163092
0.155000 2.340079 1.170040
0.156000 2.353952 1.176976
0.157000 2.367802 1.183901
0.158000 2.381628 1.190814
0.159000 2.395430 1.197715
0.160000 2.409209 1.204604
0.161000 2.422964 1.211482
0.162000 2.436695 1.218348
0.163000 2.450402 1.225201
0.164000 2.464085 1.232043
0.165000 2.477744 1.238872
0.166000 2.491378 1.245689
0.167000 2.504987 1.252494
0.168000 2.518572 1.259286
0.169000 2.532132 1.266066
0.170000 2.545667 1.272833
0.171000 2.559177 1.279588
0.172000 2.572661 1.286331
0.173000 2.586120 1.293060
0.174000 2.599554 1.299777
0.175000 2.612962 1.306481
0.176000 2.626344 1.313172
0.177000 2.639700 1.319850
0.178000 2.653030 1.326515
0.179000 2.666334 1.333167
0.180000 2.679612 1.339806
0.181000 2.692863 1.346431
0.182000 2.706087 1.353044
0.183000 2.719285 1.359642
0.184000 2.732456 1.366228
